PCA 1,PCA 2,Cluster
-2.631238612371695,-0.14291086885031104,0
-2.4557820049493775,-0.11717198654241538,0
-2.144962419812647,-0.14548926062901743,0
-1.6603853396830757,-0.024695411500689598,0
-1.200671899746777,0.10076421278339576,0
-0.6878269170494667,0.055889730437851955,0
-0.3830839766843762,0.24267363522384985,1
-0.19794057976056054,0.06090532787959298,1
0.0470925489919166,0.24436419913005886,1
-0.2669733957121945,0.2861578485432581,1
-0.6235674518555482,0.33763151367967487,1
-0.8710567262334924,0.6974134597600815,1
-0.9573800490771228,0.8064079066983849,1
-1.2478291583820786,0.6240194466909856,0
-1.3845872987703,0.5740086840809887,0
-1.4868010891442542,0.4721255043117676,0
-1.522169640550264,0.44503294768372864,0
-1.5009895580044923,0.5942794909760107,0
-1.6455694148158024,-0.026553090027624033,0
-1.5971257352546424,-0.071011252702876,0
-1.5054402106775715,-0.0849036413734911,0
-1.4269807908768548,0.0751739694897918,0
-1.2994079767694269,0.2598598390743887,0
-1.2209207455695572,0.41987336934668623,0
-1.3477329565573426,0.4541098304894526,0
-1.5762208010732752,0.5248335436601499,0
-1.56842938897083,0.3758758814811558,0
-1.2940197256823358,0.3770905797388427,0
-0.9825766774531103,0.3087974273335507,0
-0.6509320416127198,0.23193434578135963,1
-0.265039894606404,0.18593734117543517,1
0.08823740310519987,0.19613464380736326,1
0.37723273242157107,0.2856588464935843,1
0.28223051035008856,0.34555398359399114,1
0.06253159641863092,0.49816071140267226,1
0.06077758879601124,0.3723345528123209,1
-0.18313530534193298,0.22846662764346984,1
-0.7944226360796597,0.46533899263945283,1
-1.1195245829370564,0.4369950123637887,0
-1.3837531719914828,0.44264934841852555,0
-1.7067807016269911,0.4167791782048261,0
-1.9691161168389073,0.42173234373992574,0
-1.9822681831546123,0.3056234924018658,0
-2.0016388698567074,0.2249803675570899,0
-2.079255735130374,0.11268350516141092,0
-2.4205907802544746,0.061190215474957954,0
-2.813733290931744,-0.02295521081692355,0
-3.1936595306420124,-0.13782008515289204,0
-3.372454597451522,-0.046010933273252334,0
-3.5520642026662994,0.046582093562520924,0
-3.691146937213892,-0.03531234384894165,0
-2.6647827456830195,0.16623871199144155,0
-1.639322440689178,0.2789712778564568,0
-0.6206114055907557,0.3898115839332123,1
-0.11807372107973065,0.17390894510377988,1
0.3360943883938019,0.020603790597925876,1
0.7402654113987579,-0.04263151152359328,1
0.8580622103926471,-0.17809360575749206,1
0.9122668588005678,-0.3002692544709249,1
1.0886865010024436,-0.501790858759549,2
0.20556582115799363,-0.623203512139385,1
-0.9780923514330692,-0.22390657151181567,0
-1.9066964152821722,-0.1612317550973492,0
-2.2814589217905903,-0.1642530110505508,0
-2.604890824372054,-0.13566525885847092,0
-2.977815779836268,-0.139259524149339,0
-3.3368257983652048,-0.38316366590140805,0
-3.6970571348319283,-0.6292919070591744,0
-4.064763148946042,-0.8431558670340735,0
-4.227934703636411,-0.913095339821087,0
-4.337692772619991,-0.9458298118936683,0
-4.505587404225932,-1.0100043350914154,0
-4.582166898120546,-1.0433427806431304,0
-4.657970281330839,-1.0713701232750872,0
-4.54374850220137,-1.1435399488072886,0
-3.0897386480084386,-0.7331660195104132,0
-1.5540821650921912,-0.1911591327841633,0
0.0038450260028467693,0.22924374640834183,1
0.8564200384339774,-0.45461786451229313,2
1.4059389887067248,-0.7274016370122728,2
1.9816937619943102,-1.0241238791177631,2
1.8524907578441574,-0.8681448724796872,2
1.6858023761797172,-0.7448840287571413,2
1.5981543910101217,-0.6470496201209701,2
1.111499607413867,-0.3625783192663485,2
0.5388689366904162,0.1734922030860946,1
0.14041497519892834,0.3524824784257408,1
-0.08997074445380938,0.4245052920485443,1
-0.3652518254175622,0.4393876126462862,1
-0.6495687973988801,0.48460922409663404,1
-0.6733984418505711,0.4817776019006482,1
-0.7076024003337718,0.5082012405784775,1
-0.7314320447854628,0.5053696183824916,1
-0.7585680788693753,0.4922766076135309,1
-0.7938277554148099,0.47869404343652716,1
-0.8085370690268306,0.43428667103309226,1
-0.8681333086145623,0.4685517923767687,1
-0.9791771140325815,0.47066507050548645,1
-1.0067646649147157,0.35677601460326785,0
-0.7879839772042697,0.3853266785600942,1
-0.575696549225514,0.29196061682755964,1
-0.3153886539336632,0.26243076337346655,1
0.018138813814739745,0.17902277882634468,1
0.3462809496142552,0.1154418248384438,1
0.5690691971455794,0.18691522005377378,1
0.5678875006058028,0.06152276402064526,1
0.48629399276618296,0.17891264306868873,1
0.397306992748872,0.1755102520376515,1
0.19868911786154902,0.12760840990563926,1
-0.28170168151183217,0.38764559793411135,1
-0.5638009762253618,0.35229998849890853,1
-0.5686770932273161,0.3783112391761854,1
-0.580172182493464,0.40946723073228297,1
-0.5897991878101431,0.4413075115898123,1
-0.6757230664933803,0.4533565887122703,1
